
2145
1000,Asimov,Foundation,,
1001,Bulgakov,Margaritha,2016.02.07,Chuck
1002,Bulgakov,SobachjeSerdce, 2006.12.06,Slapik
1003,Oreilly,ThinkingInJava,,
1004,Shildt,C++ Beginners Guide,,
1005,Gonsales,Beginning Java EE 7,,
1006,Shakespeare,Hamlet,,
1007,Dick,Do Androids Dream of Electric Sheep?,2015.12.10,Shnipko
1008,Petrosyan,Sbornik anedoktov,2015.03.22,Kirkorov
1009,Oreilly, Head First C#,,
1010,Collins,The Hunger Games,2016.01.12,Mudik
1011,Rowling,Harry Potter and the Order of the Phoenix,,
1012,Lee,To Kill a Mockingbird,,
1013,Austen,Pride and Prejudice,,


3426254636

